"Dealer Name","Address","City","State","Contact"
"Square Auto","Arundhathi Complex,1825 J.C.S.T 1st Stage, K Block, Kuvempunagar","Mysore","Karnataka","0821-4244888/4264888"
"Racers Motors","Valiyachudukadu","Allappuzha","Kerala","9447056966"
"Alwaye Motors","Opp metro pillar no 143.  Ambattukavu","Alwaye","Kerala","7559962444, 9249455995"
"KP Motors","Pallikkulam, Puzhathi","Kannur","Kerala","7902922133"
"Jovie Motors","Shop No.626, Afra Building, Panvel - Kochi - Kanyakumari Highway","Kollam","Kerala","9207727225 ,  9207700000"
"Motobrand Automobiles","Near Sumangali Auditorium, Kodimatha","Kottayam","Kerala","7012992852"
"Kaizen Motors","KSRTC By-Pass Road, Opp. Jayamatha College","Palakkad","Kerala","7510770007 ,  9744980001"
"Safari Motors","Opp Poly Quartes,Near Railway Gate, Angadippuram","Perinthalmanna","Kerala","04933-221440"
"Seetha Motors","Ayodhya Building, Vanross Junction","Thiruvananthapuram","Kerala","9447698545"
"Avaran Associates","12/546,Near Mths,Kuriachira","Thrissur","Kerala","0487-2252562"
"S S Automotive","Plot no 19 Zone-1 Behind Manohar dairy lane","Bhopal","Madhya Pradesh","8878348150"
"Arj Automotives","G-1, Shekhar Central, 4-5 Manoramaganj Palasia Square, A.B Road","Indore","Madhya Pradesh","9752494352"
"Unnati Vespa","Saturn MIDC Badnera Road","Amravati","Maharashtra","9561214481"
"Alpha Motors","Opp. Cidco Bus Stand, Jalgaon Road Town Center","Aurangabad","Maharashtra","9823887272"
"Sunshine Motors","Shop no.1,2 Mahavir Chambers, Near Metro Cinema","Jalgaon","Maharashtra","7588052974"
"Venetian Vespa","255/1, Highway Park Apartment, Old P.B Road, Kirwala Naka, Kadamwadi","Kolhapur","Maharashtra","9011770603"
"Sky Moto","Cs.No.198, K/3 E Ward, Near Geeta Mandir, Kawla Naka","Kolhapur","Maharashtra","0231-26454555"
"Star Auto","Opp, Mahindra Four Wheeler Showroom, Near c'lai World Barshi Road","Latur","Maharashtra","9511950000"
"Planet Moto - Bandra","Shop No.7/8, Ground Floor, Rizvi Mahal, Waterfield Road, Near Baba Hospital","Mumbai","Maharashtra","9699888503"
"Indy Italia - Bandra","Manusmruti Building, Near Jari Mari Mandir, Opp. Bandra Talao, S V Road,","Mumbai","Maharashtra","7506448801"
"Planet Moto - Goregaon","Shop No. A3, Kumud Nagar, S.V. Road","Mumbai","Maharashtra","9769367269"
"Indy Italia - Andheri","15, Kuber Complex, New Link Road, Opp. Laxmi Estate,","Mumbai","Maharashtra","7506448801"
"Durvanshi Moto","Shop No. 8 & 9, Rele Smruti Bulding, Nadiadwala Colony No. 1, S. V. Road, Near merwans & Mcdonalds","Mumbai","Maharashtra","9892309933"
"Devkule Motors","Opp Bharat petrol Pump, Near Chatrpati Chowk Wardha Road","Nagpur","Maharashtra","9373660563"
"Vaishnavi Motors","G.R.Tapdiya Complex, Near Hotel Chandralok, Hingoli Road","Nanded","Maharashtra","02462-222001/ 02"
"Shiva motors","Nr Satpur, ITI signal , Trimbak Road","Nashik","Maharashtra","7767005577"
"Kavya Motors","Shop No 3 To 6 & 16,Mayur Plaza,Near Dwarka Chowk","Nashik","Maharashtra","0253-2594245"
"Kian Motors","Plot No. 44, Panvel Industrial Co-Op Estate Ltd., Mumbai Pune Road,","Panvel","Maharashtra","9619053131"
"Navnath Automobiles","SN-120,A+B, Ground floor, Ajinkyatara apartment, PL-545/14B, Near Titan showroom, Opp PL Deshpande garden, Sinhagad Road","Pune","Maharashtra","9545879303"
"Auto lounge - Wakad","Sr No. 270/2 B, Aundh Hinjewadi Road, Near Sahara Chowk, Shegde vasti","Pune","Maharashtra","8806317719"
"Auto Lounge - Yerwada","5 Nyati Unitree Building,Near Gunjan Talkies Chowk","Pune","Maharashtra","7774053100"
"Auto Lounge - Chinchwad","ABC Classic, Shop No.6-11, GP 79 G Block, Near Thermax Chowk, Chinchwad","Pune","Maharashtra","9834735308"
